#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 0.999999
1 15 0.999998
1 16 0.999994
1 17 0.999983
1 18 0.999949
1 19 0.999848
1 20 0.999543
1 21 0.99863
1 22 0.995902
1 23 0.987805
1 24 0.964286
1 25 0.9
1 26 0.75
1 27 0.5
1 28 0.25
1 29 0.0999999
1 30 0.0357142
1 31 0.0121951
1 32 0.00409836
1 33 0.00136986
1 34 0.000457038
1 35 0.000152392
1 36 5.08026e-05
1 37 1.69348e-05
1 38 5.64499e-06
1 39 1.88168e-06
1 40 6.27226e-07
1 41 2.09075e-07
1 42 6.96917e-08
1 43 2.32306e-08
1 44 7.74352e-09
1 45 2.58117e-09
1 46 8.60391e-10
1 47 2.86797e-10
1 48 9.55989e-11
1 49 3.18663e-11
1 50 1.06221e-11
1 51 3.54072e-12

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 0.999999
2 15 0.999998
2 16 0.999994
2 17 0.999982
2 18 0.999948
2 19 0.999843
2 20 0.99953
2 21 0.998592
2 22 0.995794
2 23 0.987501
2 24 0.963454
2 25 0.897922
2 26 0.74586
2 27 0.494721
2 28 0.246206
2 29 0.0982487
2 30 0.0350678
2 31 0.0119766
2 32 0.00402669
2 33 0.00134659
2 34 0.000449498
2 35 0.000149951
2 36 5.00117e-05
2 37 1.66784e-05
2 38 5.56181e-06
2 39 1.85468e-06
2 40 6.18456e-07
2 41 2.06225e-07
2 42 6.87646e-08
2 43 2.29288e-08
2 44 7.64524e-09
2 45 2.54916e-09
2 46 8.49953e-10
2 47 2.83392e-10
2 48 9.44882e-11
2 49 3.15037e-11
2 50 1.05037e-11
2 51 3.50203e-12

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 0.999999
3 15 0.999998
3 16 0.999993
3 17 0.999981
3 18 0.999942
3 19 0.999828
3 20 0.999487
3 21 0.998472
3 22 0.995453
3 23 0.986544
3 24 0.960852
3 25 0.891469
3 26 0.733189
3 27 0.478916
3 28 0.235074
3 29 0.0931641
3 30 0.0331977
3 31 0.0113445
3 32 0.00381928
3 33 0.00127916
3 34 0.000427637
3 35 0.000142865
3 36 4.77139e-05
3 37 1.59329e-05
3 38 5.31974e-06
3 39 1.77603e-06
3 40 5.92888e-07
3 41 1.97907e-07
3 42 6.60572e-08
3 43 2.20472e-08
3 44 7.35799e-09
3 45 2.45551e-09
3 46 8.19408e-10
3 47 2.73427e-10
3 48 9.12347e-11
3 49 3.04411e-11
3 50 1.01565e-11
3 51 3.38857e-12

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 0.999999
4 15 0.999997
4 16 0.999992
4 17 0.999977
4 18 0.999932
4 19 0.9998
4 20 0.999408
4 21 0.998249
4 22 0.994826
4 23 0.984794
4 24 0.956136
4 25 0.879958
4 26 0.711272
4 27 0.452762
4 28 0.217354
4 29 0.0852327
4 30 0.0302994
4 31 0.0103657
4 32 0.00349763
4 33 0.00117439
4 34 0.000393597
4 35 0.000131809
4 36 4.41222e-05
4 37 1.47654e-05
4 38 4.94004e-06
4 39 1.65246e-06
4 40 5.52653e-07
4 41 1.848e-07
4 42 6.17852e-08
