#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 0.999999
1 23 0.999997
1 24 0.999991
1 25 0.999972
1 26 0.999914
1 27 0.999739
1 28 0.999205
1 29 0.997578
1 30 0.992642
1 31 0.977806
1 32 0.934484
1 33 0.818273
1 34 0.574296
1 35 0.292145
1 36 0.119841
1 37 0.0447114
1 38 0.0160871
1 39 0.00570936
1 40 0.0020142
1 41 0.000707827
1 42 0.000247779
1 43 8.63399e-05
1 44 2.9925e-05
1 45 1.03109e-05
1 46 3.53129e-06
1 47 1.2025e-06
1 48 4.07542e-07
1 49 1.37995e-07
1 50 4.79408e-08
1 51 2.069e-08

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 0.999999
2 23 0.999997
2 24 0.99999
2 25 0.999971
2 26 0.999911
2 27 0.999729
2 28 0.999176
2 29 0.997493
2 30 0.992391
2 31 0.977075
2 32 0.932455
2 33 0.813367
2 34 0.56626
2 35 0.286005
2 36 0.116944
2 37 0.0435882
2 38 0.0156818
2 39 0.00556688
2 40 0.00196461
2 41 0.000690656
2 42 0.000241856
2 43 8.43062e-05
2 44 2.92303e-05
2 45 1.0075e-05
2 46 3.45171e-06
2 47 1.17583e-06
2 48 3.98654e-07
2 49 1.35039e-07
2 50 4.69345e-08
2 51 2.02653e-08

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 0.999999
3 23 0.999996
3 24 0.99999
3 25 0.999968
3 26 0.999904
3 27 0.999708
3 28 0.999114
3 29 0.997312
3 30 0.99186
3 31 0.975537
3 32 0.928204
3 33 0.803198
3 34 0.550076
3 35 0.27396
3 36 0.111326
3 37 0.0414173
3 38 0.0148991
3 39 0.0052917
3 40 0.0018688
3 41 0.000657462
3 42 0.000230402
3 43 8.03706e-05
3 44 2.78851e-05
3 45 9.61802e-06
3 46 3.29748e-06
3 47 1.1241e-06
3 48 3.81406e-07
3 49 1.293e-07
3 50 4.49794e-08
3 51 1.94393e-08

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 0.999999
4 23 0.999996
4 24 0.999988
4 25 0.999964
4 26 0.999892
4 27 0.999673
4 28 0.999013
4 29 0.997014
4 30 0.990989
4 31 0.973028
4 32 0.921323
4 33 0.787041
4 34 0.525603
4 35 0.256504
4 36 0.103324
4 37 0.0383433
4 38 0.0137924
4 39 0.00490253
4 40 0.00173321
4 41 0.000610446
4 42 0.000214162
4 43 7.47861e-05
4 44 2.59748e-05
4 45 8.96846e-06
4 46 3.07804e-06
4 47 1.05044e-06
4 48 3.56821e-07
4 49 1.21111e-07
4 50 4.21865e-08
4 51 1.8258e-08

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
