#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 0.999999
1 23 0.999996
1 24 0.999988
1 25 0.999965
1 26 0.999893
1 27 0.999673
1 28 0.999006
1 29 0.996974
1 30 0.990812
1 31 0.972342
1 32 0.918976
1 33 0.780452
1 34 0.513942
1 35 0.247401
1 36 0.0988306
1 37 0.0364912
1 38 0.0130779
1 39 0.00463345
1 40 0.00163275
1 41 0.00057307
1 42 0.000200288
1 43 6.96523e-05
1 44 2.40844e-05
1 45 8.27723e-06
1 46 2.82747e-06
1 47 9.6049e-07
1 48 3.24833e-07
1 49 1.09799e-07
1 50 3.80931e-08
1 51 1.64233e-08

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 0.999999
2 23 0.999996
2 24 0.999988
2 25 0.999963
2 26 0.999889
2 27 0.999661
2 28 0.998969
2 29 0.996867
2 30 0.990498
2 31 0.971436
2 32 0.916498
2 33 0.774738
2 34 0.505835
2 35 0.241956
2 36 0.0964018
2 37 0.0355689
2 38 0.0127476
2 39 0.00451769
2 40 0.00159253
2 41 0.00055916
2 42 0.000195498
2 43 6.80108e-05
2 44 2.35251e-05
2 45 8.08784e-06
2 46 2.76377e-06
2 47 9.39203e-07
2 48 3.17758e-07
2 49 1.07451e-07
2 50 3.72956e-08
2 51 1.60871e-08

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 0.999999
3 23 0.999996
3 24 0.999987
3 25 0.99996
3 26 0.99988
3 27 0.999635
3 28 0.998892
3 29 0.996641
3 30 0.989837
3 31 0.969533
3 32 0.911317
3 33 0.762935
3 34 0.489614
3 35 0.231307
3 36 0.0916949
3 37 0.0337865
3 38 0.0121098
3 39 0.00429409
3 40 0.0015148
3 41 0.000532267
3 42 0.000186232
3 43 6.48336e-05
3 44 2.24419e-05
3 45 7.72087e-06
3 46 2.64028e-06
3 47 8.9791e-07
3 48 3.04025e-07
3 49 1.02892e-07
3 50 3.57454e-08
3 51 1.54332e-08

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 0.999999
4 22 0.999998
4 23 0.999995
4 24 0.999985
4 25 0.999955
4 26 0.999865
4 27 0.999592
4 28 0.998765
4 29 0.996269
4 30 0.988753
4 31 0.966429
4 32 0.902952
4 33 0.744295
4 34 0.465348
4 35 0.215951
4 36 0.0850034
4 37 0.0312641
4 38 0.0112079
4 39 0.00397785
4 40 0.00140478
4 41 0.000494167
4 42 0.000173093
4 43 6.03244e-05
4 44 2.09031e-05
4 45 7.19912e-06
4 46 2.46453e-06
4 47 8.3909e-07
4 48 2.84445e-07
4 49 9.63852e-08
4 50 3.35302e-08
4 51 1.44976e-08

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
