#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 0.999999
1 23 0.999998
1 24 0.999993
1 25 0.999977
1 26 0.999931
1 27 0.999791
1 28 0.999364
1 29 0.998063
1 30 0.994112
1 31 0.982207
1 32 0.947121
1 33 0.850483
1 34 0.632838
1 35 0.342053
1 36 0.144799
1 37 0.0547097
1 38 0.0197783
1 39 0.00703303
1 40 0.00248399
1 41 0.000873899
1 42 0.000306346
1 43 0.000106942
1 44 3.71466e-05
1 45 1.28307e-05
1 46 4.40554e-06
1 47 1.50393e-06
1 48 5.10846e-07
1 49 1.73302e-07
1 50 6.03002e-08
1 51 2.60552e-08

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 0.999999
2 23 0.999997
2 24 0.999992
2 25 0.999977
2 26 0.999929
2 27 0.999783
2 28 0.999341
2 29 0.997994
2 30 0.99391
2 31 0.981619
2 32 0.94547
2 33 0.846319
2 34 0.625145
2 35 0.335259
2 36 0.141371
2 37 0.0533459
2 38 0.0192815
2 39 0.00685775
2 40 0.00242289
2 41 0.000852712
2 42 0.000299028
2 43 0.000104424
2 44 3.62847e-05
2 45 1.25372e-05
2 46 4.30627e-06
2 47 1.47056e-06
2 48 4.99694e-07
2 49 1.69585e-07
2 50 5.90318e-08
2 51 2.55189e-08

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 0.999999
3 23 0.999997
3 24 0.999992
3 25 0.999975
3 26 0.999923
3 27 0.999767
3 28 0.999291
3 29 0.997849
3 30 0.993484
3 31 0.98038
3 32 0.942006
3 33 0.837672
3 34 0.609545
3 35 0.321882
3 36 0.134711
3 37 0.0507086
3 38 0.018322
3 39 0.00651925
3 40 0.00230484
3 41 0.000811762
3 42 0.000284876
3 43 9.95531e-05
3 44 3.46161e-05
3 45 1.19689e-05
3 46 4.11388e-06
3 47 1.40585e-06
3 48 4.78057e-07
3 49 1.62367e-07
3 50 5.65679e-08
3 51 2.44763e-08

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 0.999999
4 23 0.999997
4 24 0.999991
4 25 0.999971
4 26 0.999914
4 27 0.999739
4 28 0.99921
4 29 0.997611
4 30 0.992786
4 31 0.978358
4 32 0.936388
4 33 0.823876
4 34 0.585684
4 35 0.302377
4 36 0.125206
4 37 0.0469716
4 38 0.0169652
4 39 0.00604057
4 40 0.0021378
4 41 0.000753769
4 42 0.000264817
4 43 9.26425e-05
4 44 3.22468e-05
4 45 1.11611e-05
4 46 3.84022e-06
4 47 1.31373e-06
4 48 4.47224e-07
4 49 1.52072e-07
4 50 5.30497e-08
4 51 2.29857e-08

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
