#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 0.999999
1 22 0.999996
1 23 0.999988
1 24 0.999965
1 25 0.999892
1 26 0.999672
1 27 0.999002
1 28 0.996963
1 29 0.990782
1 30 0.972257
1 31 0.918747
1 32 0.779931
1 33 0.513205
1 34 0.246907
1 35 0.0986061
1 36 0.0363996
1 37 0.0130386
1 38 0.00461468
1 39 0.00162295
1 40 0.000567825
1 41 0.000197553
1 42 6.82989e-05
1 43 2.34549e-05
1 44 8.00196e-06
1 45 2.71384e-06
1 46 9.15885e-07
1 47 3.07959e-07
1 48 1.03316e-07
1 49 3.47161e-08
1 50 1.19934e-08
1 51 5.15557e-09

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 0.999999
2 22 0.999996
2 23 0.999988
2 24 0.999963
2 25 0.999888
2 26 0.999659
2 27 0.998964
2 28 0.996853
2 29 0.990459
2 30 0.971326
2 31 0.916204
2 32 0.774076
2 33 0.504926
2 34 0.24136
2 35 0.0961355
2 36 0.0354623
2 37 0.0127034
2 38 0.00449736
2 39 0.00158228
2 40 0.000553806
2 41 0.000192749
2 42 6.66629e-05
2 43 2.29017e-05
2 44 7.81625e-06
2 45 2.65193e-06
2 46 8.95375e-07
2 47 3.01196e-07
2 48 1.01093e-07
2 49 3.39848e-08
2 50 1.17464e-08
2 51 5.05192e-09

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 0.999999
3 22 0.999996
3 23 0.999987
3 24 0.99996
3 25 0.999879
3 26 0.999632
3 27 0.998885
3 28 0.99662
3 29 0.989776
3 30 0.969364
3 31 0.910873
3 32 0.761961
3 33 0.488348
3 34 0.230507
3 35 0.091346
3 36 0.0336506
3 37 0.0120558
3 38 0.00427067
3 39 0.00150365
3 40 0.000526691
3 41 0.000183451
3 42 6.34946e-05
3 43 2.18297e-05
3 44 7.4562e-06
3 45 2.53184e-06
3 46 8.55558e-07
3 47 2.88057e-07
3 48 9.67711e-08
3 49 3.25619e-08
3 50 1.12655e-08
3 51 4.84992e-09

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 0.999999
4 21 0.999998
4 22 0.999995
4 23 0.999985
4 24 0.999955
4 25 0.999863
4 26 0.999587
4 27 0.998753
4 28 0.996233
4 29 0.988653
4 30 0.966154
4 31 0.90224
4 32 0.742785
4 33 0.463521
4 34 0.214852
4 35 0.0845359
4 36 0.0310863
4 37 0.0111399
4 38 0.00394994
4 39 0.00139231
4 40 0.000488261
4 41 0.00017026
4 42 5.89955e-05
4 43 2.0306e-05
4 44 6.94391e-06
4 45 2.36079e-06
4 46 7.98784e-07
4 47 2.69302e-07
4 48 9.0594e-08
4 49 3.05257e-08
4 50 1.05765e-08
4 51 4.5601e-09

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
