#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 0.999999
1 9 1
1 10 0.999999
1 11 1
1 12 0.999999
1 13 1
1 14 0.999998
1 15 1
1 16 0.999998
1 17 1
1 18 0.999998
1 19 1
1 20 0.999998
1 21 1
1 22 0.999999
1 23 1
1 24 0.999999
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 1
1 32 1
1 33 1
1 34 0.999999
1 35 0.999998
1 36 0.999995
1 37 0.999984
1 38 0.99995
1 39 0.999847
1 40 0.999533
1 41 0.998576
1 42 0.995664
1 43 0.986846
1 44 0.960571
1 45 0.886192
1 46 0.70565
1 47 0.416238
1 48 0.185441
1 49 0.071906
1 50 0.0272389
1 51 0.0126259

2 1 1
2 2 1
2 3 1
2 4 1
2 5 0.999999
2 6 1
2 7 0.999999
2 8 1
2 9 0.999998
2 10 1
2 11 0.999997
2 12 1
2 13 0.999995
2 14 1.00001
2 15 0.999994
2 16 1.00001
2 17 0.999994
2 18 1.00001
2 19 0.999994
2 20 1.00001
2 21 0.999995
2 22 1
2 23 0.999996
2 24 1
2 25 0.999998
2 26 1
2 27 0.999999
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 0.999999
2 35 0.999998
2 36 0.999994
2 37 0.999983
2 38 0.999948
2 39 0.999843
2 40 0.999521
2 41 0.998539
2 42 0.995554
2 43 0.986521
2 44 0.959637
2 45 0.883703
2 46 0.700395
2 47 0.410432
2 48 0.182142
2 49 0.070521
2 50 0.0267035
2 51 0.0123776

3 1 1
3 2 1
3 3 1
3 4 0.999999
3 5 1
3 6 0.999998
3 7 1
3 8 0.999997
3 9 1
3 10 0.999995
3 11 1.00001
3 12 0.999992
3 13 1.00001
3 14 0.99999
3 15 1.00001
3 16 0.999988
3 17 1.00001
3 18 0.999988
3 19 1.00001
3 20 0.999989
3 21 1.00001
3 22 0.999992
3 23 1.00001
3 24 0.999995
3 25 1
3 26 0.999997
3 27 1
3 28 0.999999
3 29 1
3 30 0.999999
3 31 1
3 32 1
3 33 1
3 34 0.999999
3 35 0.999998
3 36 0.999994
3 37 0.999982
3 38 0.999946
3 39 0.999834
3 40 0.999495
3 41 0.998462
3 42 0.995325
3 43 0.985848
3 44 0.957705
3 45 0.878579
3 46 0.689715
3 47 0.398922
3 48 0.175688
3 49 0.0678257
3 50 0.0256631
3 51 0.0118955

4 1 1
4 2 1
4 3 0.999999
4 4 1
4 5 0.999998
4 6 1
4 7 0.999996
4 8 1
4 9 0.999993
4 10 1.00001
4 11 0.99999
4 12 1.00001
4 13 0.999985
4 14 1.00002
4 15 0.999982
4 16 1.00002
4 17 0.99998
4 18 1.00002
4 19 0.999981
4 20 1.00002
4 21 0.999984
4 22 1.00001
4 23 0.999989
4 24 1.00001
4 25 0.999993
4 26 1.00001
4 27 0.999996
4 28 1
4 29 0.999998
4 30 1
4 31 0.999999
4 32 1
4 33 1
4 34 0.999999
4 35 0.999998
4 36 0.999994
4 37 0.999981
4 38 0.999941
4 39 0.99982
4 40 0.999454
4 41 0.998339
4 42 0.99496
4 43 0.984774
4 44 0.954637
4 45 0.870521
4 46 0.673289
4 47 0.381933
4 48 0.166367
4 49 0.0639639
4 50 0.0241764
4 51 0.0112071

5 1 1
5 2 0.999999
5 3 1
5 4 0.999998
5 5 1
5 6 0.999996
5 7 1.00001
5 8 0.999992
5 9 1.00001
5 10 0.999987
5 11 1.00002
5 12 0.999981
5 13 1.00002
5 14 0.999975
5 15 1.00003
