#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 0.999999
1 28 0.999997
1 29 0.999991
1 30 0.999973
1 31 0.999917
1 32 0.999746
1 33 0.999225
1 34 0.99764
1 35 0.992823
1 36 0.978332
1 37 0.935955
1 38 0.821875
1 39 0.580344
1 40 0.296865
1 41 0.122095
1 42 0.0455997
1 43 0.0164188
1 44 0.00583454
1 45 0.00206365
1 46 0.000728586
1 47 0.000256991
1 48 9.0602e-05
1 49 3.20273e-05
1 50 1.16686e-05
1 51 5.29179e-06

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 0.999999
2 28 0.999997
2 29 0.999991
2 30 0.999972
2 31 0.999914
2 32 0.999738
2 33 0.999201
2 34 0.997567
2 35 0.992607
2 36 0.977704
2 37 0.9342
2 38 0.817591
2 39 0.573188
2 40 0.291297
2 41 0.119445
2 42 0.0445673
2 43 0.016045
2 44 0.00570265
2 45 0.00201754
2 46 0.00071252
2 47 0.0002514
2 48 8.86576e-05
2 49 3.13493e-05
2 50 1.1425e-05
2 51 5.18293e-06

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 0.999999
3 28 0.999997
3 29 0.99999
3 30 0.99997
3 31 0.999908
3 32 0.99972
3 33 0.999149
3 34 0.997414
3 35 0.992157
3 36 0.976391
3 37 0.930548
3 38 0.808758
3 39 0.5588
3 40 0.280366
3 41 0.114296
3 42 0.0425681
3 43 0.0153217
3 44 0.0054475
3 45 0.00192832
3 46 0.000681419
3 47 0.000240573
3 48 8.48902e-05
3 49 3.00349e-05
3 50 1.09527e-05
3 51 4.97172e-06

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 27 0.999999
4 28 0.999996
4 29 0.999989
4 30 0.999967
4 31 0.999898
4 32 0.999692
4 33 0.999066
4 34 0.997167
4 35 0.991429
4 36 0.974278
4 37 0.924702
4 38 0.79484
4 39 0.53708
4 40 0.264494
4 41 0.10694
4 42 0.0397272
4 43 0.0142955
4 44 0.00508544
4 45 0.00180165
4 46 0.000637236
4 47 0.000225181
4 48 7.95307e-05
4 49 2.81637e-05
4 50 1.02798e-05
4 51 4.67058e-06

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 16 1
5 17 1
5 18 1
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 0.999999
5 27 0.999999
5 28 0.999996
5 29 0.999987
