#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 0.999999
1 19 0.999997
1 20 0.99999
1 21 0.999971
1 22 0.999911
1 23 0.999732
1 24 0.999188
1 25 0.997536
1 26 0.992532
1 27 0.977518
1 28 0.933756
1 29 0.816652
1 30 0.57187
1 31 0.290471
1 32 0.1191
1 33 0.0443933
1 34 0.0159168
1 35 0.0056021
1 36 0.00194709
1 37 0.000669395
1 38 0.00022792
1 39 7.70029e-05
1 40 2.58734e-05
1 41 8.66444e-06
1 42 2.89628e-06
1 43 9.67298e-07
1 44 3.22928e-07
1 45 1.07788e-07
1 46 3.5974e-08
1 47 1.20058e-08
1 48 4.00783e-09
1 49 1.34202e-09
1 50 4.62209e-10
1 51 1.98016e-10

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 0.999999
2 19 0.999997
2 20 0.99999
2 21 0.999969
2 22 0.999907
2 23 0.999721
2 24 0.999155
2 25 0.997439
2 26 0.99225
2 27 0.976708
2 28 0.931524
2 29 0.811304
2 30 0.563232
2 31 0.283944
2 32 0.116041
2 33 0.0432129
2 34 0.0154934
2 35 0.00545464
2 36 0.00189656
2 37 0.000652298
2 38 0.000222201
2 39 7.51094e-05
2 40 2.52511e-05
2 41 8.46091e-06
2 42 2.82988e-06
2 43 9.45655e-07
2 44 3.15875e-07
2 45 1.05489e-07
2 46 3.52242e-08
2 47 1.17611e-08
2 48 3.92796e-09
2 49 1.31586e-09
2 50 4.53401e-10
2 51 1.9433e-10

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 0.999999
3 19 0.999996
3 20 0.999989
3 21 0.999966
3 22 0.999899
3 23 0.999696
3 24 0.999083
3 25 0.997232
3 26 0.991648
3 27 0.974979
3 28 0.926788
3 29 0.800093
3 30 0.545685
3 31 0.271048
3 32 0.110065
3 33 0.0409149
3 34 0.0146696
3 35 0.00516763
3 36 0.00179814
3 37 0.000618969
3 38 0.000211045
3 39 7.1412e-05
3 40 2.40348e-05
3 41 8.0627e-06
3 42 2.69983e-06
3 43 9.03227e-07
3 44 3.02035e-07
3 45 1.00973e-07
3 46 3.37503e-08
3 47 1.12799e-08
3 48 3.77071e-09
3 49 1.26431e-09
3 50 4.36034e-10
3 51 1.87057e-10

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 0.999999
4 18 0.999998
4 19 0.999996
4 20 0.999987
4 21 0.999961
4 22 0.999885
4 23 0.999655
4 24 0.998963
4 25 0.996884
4 26 0.990641
4 27 0.972102
4 28 0.918978
4 29 0.781992
4 30 0.51886
4 31 0.252205
4 32 0.10149
4 33 0.0376358
4 34 0.0134951
4 35 0.00475823
4 36 0.0016576
4 37 0.000571325
4 38 0.000195077
4 39 6.61123e-05
4 40 2.22889e-05
4 41 7.49018e-06
4 42 2.51256e-06
4 43 8.42034e-07
4 44 2.82043e-07
4 45 9.44408e-08
4 46 3.16154e-08
4 47 1.05818e-08
4 48 3.54232e-09
