#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 0.999999
1 27 0.999996
1 28 0.999989
1 29 0.999966
1 30 0.999895
1 31 0.99968
1 32 0.999025
1 33 0.99703
1 34 0.990978
1 35 0.972822
1 36 0.920299
1 37 0.783536
1 38 0.518414
1 39 0.250453
1 40 0.100209
1 41 0.0370268
1 42 0.0132802
1 43 0.00471232
1 44 0.0016655
1 45 0.000587598
1 46 0.000207035
1 47 7.28385e-05
1 48 2.55851e-05
1 49 8.99725e-06
1 50 3.25365e-06
1 51 1.46173e-06

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 0.999999
2 27 0.999996
2 28 0.999988
2 29 0.999964
2 30 0.999891
2 31 0.999669
2 32 0.998993
2 33 0.996936
2 34 0.990701
2 35 0.972018
2 36 0.918087
2 37 0.778393
2 38 0.510997
2 39 0.24541
2 40 0.0979461
2 41 0.0361646
2 42 0.0129705
2 43 0.00460343
2 44 0.0016275
2 45 0.000574371
2 46 0.000202439
2 47 7.12437e-05
2 48 2.50324e-05
2 49 8.8055e-06
2 50 3.18528e-06
2 51 1.43146e-06

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 0.999999
3 27 0.999996
3 28 0.999987
3 29 0.999962
3 30 0.999884
3 31 0.999647
3 32 0.998926
3 33 0.996739
3 34 0.99012
3 35 0.970339
3 36 0.913487
3 37 0.767814
3 38 0.496174
3 39 0.235544
3 40 0.0935568
3 41 0.0344966
3 42 0.0123718
3 43 0.00439289
3 44 0.00155399
3 45 0.000548778
3 46 0.000193541
3 47 6.81548e-05
3 48 2.39616e-05
3 49 8.4338e-06
3 50 3.05269e-06
3 51 1.37273e-06

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 0.999999
4 26 0.999999
4 27 0.999995
4 28 0.999986
4 29 0.999957
4 30 0.999871
4 31 0.99961
4 32 0.998817
4 33 0.996418
4 34 0.98918
4 35 0.96763
4 36 0.906128
4 37 0.751211
4 38 0.474021
4 39 0.221296
4 40 0.0873024
4 41 0.03213
4 42 0.0115233
4 43 0.00409443
4 44 0.00144972
4 45 0.00051245
4 46 0.000180903
4 47 6.37641e-05
4 48 2.24383e-05
4 49 7.90466e-06
4 50 2.8638e-06
4 51 1.28899e-06

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 16 1
5 17 1
5 18 1
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 0.999998
