#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 0.999999
1 10 1
1 11 0.999999
1 12 1
1 13 0.999999
1 14 1
1 15 0.999998
1 16 1
1 17 0.999998
1 18 1
1 19 0.999998
1 20 1
1 21 0.999999
1 22 1
1 23 0.999999
1 24 1
1 25 0.999999
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 1
1 32 1
1 33 1
1 34 0.999999
1 35 0.999998
1 36 0.999993
1 37 0.999979
1 38 0.999937
1 39 0.999808
1 40 0.999415
1 41 0.998217
1 42 0.994571
1 43 0.983563
1 44 0.950991
1 45 0.860481
1 46 0.652137
1 47 0.360009
1 48 0.154215
1 49 0.0588199
1 50 0.0221398
1 51 0.0102352

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 0.999999
2 7 1
2 8 0.999999
2 9 1
2 10 0.999998
2 11 1
2 12 0.999996
2 13 1
2 14 0.999995
2 15 1.00001
2 16 0.999994
2 17 1.00001
2 18 0.999994
2 19 1.00001
2 20 0.999995
2 21 1
2 22 0.999996
2 23 1
2 24 0.999998
2 25 1
2 26 0.999999
2 27 1
2 28 0.999999
2 29 1
2 30 1
2 31 1
2 32 1
2 33 1
2 34 0.999999
2 35 0.999998
2 36 0.999993
2 37 0.999979
2 38 0.999935
2 39 0.999803
2 40 0.9994
2 41 0.99817
2 42 0.994433
2 43 0.983158
2 44 0.949838
2 45 0.857506
2 46 0.646374
2 47 0.354594
2 48 0.151393
2 49 0.0576749
2 50 0.0217028
2 51 0.0100337

3 1 1
3 2 1
3 3 1
3 4 1
3 5 0.999999
3 6 1
3 7 0.999998
3 8 1
3 9 0.999996
3 10 1
3 11 0.999994
3 12 1.00001
3 13 0.999992
3 14 1.00001
3 15 0.99999
3 16 1.00001
3 17 0.999989
3 18 1.00001
3 19 0.99999
3 20 1.00001
3 21 0.999992
3 22 1.00001
3 23 0.999994
3 24 1
3 25 0.999996
3 26 1
3 27 0.999998
3 28 1
3 29 0.999999
3 30 1
3 31 1
3 32 1
3 33 1
3 34 0.999999
3 35 0.999998
3 36 0.999993
3 37 0.999978
3 38 0.999932
3 39 0.999792
3 40 0.999368
3 41 0.998074
3 42 0.994147
3 43 0.982316
3 44 0.947451
3 45 0.851391
3 46 0.634723
3 47 0.343898
3 48 0.145882
3 49 0.0554479
3 50 0.0208538
3 51 0.00964228

4 1 1
4 2 1
4 3 1
4 4 0.999999
4 5 1
4 6 0.999998
4 7 1
4 8 0.999996
4 9 1.00001
4 10 0.999992
4 11 1.00001
4 12 0.999989
4 13 1.00001
4 14 0.999985
4 15 1.00002
4 16 0.999983
4 17 1.00002
4 18 0.999982
4 19 1.00002
4 20 0.999984
4 21 1.00001
4 22 0.999988
4 23 1.00001
4 24 0.999992
4 25 1.00001
4 26 0.999995
4 27 1
4 28 0.999998
4 29 1
4 30 0.999999
4 31 1
4 32 1
4 33 1
4 34 0.999999
4 35 0.999997
4 36 0.999992
4 37 0.999976
4 38 0.999926
4 39 0.999775
4 40 0.999316
4 41 0.99792
4 42 0.99369
4 43 0.980975
4 44 0.943663
4 45 0.841796
4 46 0.616957
4 47 0.328208
4 48 0.137942
4 49 0.05226
4 50 0.019641
4 51 0.0090834

5 1 1
5 2 1
5 3 0.999999
5 4 1
5 5 0.999998
5 6 1
5 7 0.999995
5 8 1.00001
5 9 0.999991
5 10 1.00001
5 11 0.999986
5 12 1.00002
5 13 0.99998
5 14 1.00002
5 15 0.999975
5 16 1.00003
