#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 0.999999
1 29 0.999998
1 30 0.999993
1 31 0.999978
1 32 0.999934
1 33 0.999798
1 34 0.999385
1 35 0.998126
1 36 0.994298
1 37 0.982754
1 38 0.948669
1 39 0.854438
1 40 0.640336
1 41 0.348859
1 42 0.148285
1 43 0.0561144
1 44 0.0203018
1 45 0.00722667
1 46 0.00255779
1 47 0.000903512
1 48 0.000319042
1 49 0.000113048
1 50 4.13454e-05
1 51 1.885e-05

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 0.999999
2 29 0.999998
2 30 0.999993
2 31 0.999978
2 32 0.999932
2 33 0.999792
2 34 0.999366
2 35 0.998069
2 36 0.994131
2 37 0.982264
2 38 0.947285
2 39 0.850912
2 40 0.633684
2 41 0.342832
2 42 0.145204
2 43 0.054881
2 44 0.0198506
2 45 0.00706691
2 46 0.00250184
2 47 0.000883998
2 48 0.000312242
2 49 0.000110671
2 50 4.04883e-05
2 51 1.84649e-05

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 1
3 28 0.999999
3 29 0.999997
3 30 0.999992
3 31 0.999976
3 32 0.999927
3 33 0.999779
3 34 0.999326
3 35 0.997952
3 36 0.993782
3 37 0.981243
3 38 0.944407
3 39 0.843636
3 40 0.620226
3 41 0.330956
3 42 0.139207
3 43 0.05249
3 44 0.0189772
3 45 0.00675764
3 46 0.00239352
3 47 0.0008462
3 48 0.000299064
3 49 0.000106062
3 50 3.8826e-05
3 51 1.77177e-05

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 27 1
4 28 0.999999
4 29 0.999997
4 30 0.999991
4 31 0.999973
4 32 0.99992
4 33 0.999757
4 34 0.999262
4 35 0.997761
4 36 0.993219
4 37 0.9796
4 38 0.9398
4 39 0.832146
4 40 0.599702
4 41 0.313601
4 42 0.130611
4 43 0.0490863
4 44 0.0177363
4 45 0.00631832
4 46 0.00223959
4 47 0.000792455
4 48 0.000280315
4 49 9.95007e-05
4 50 3.64575e-05
4 51 1.66522e-05

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 0.999999
5 14 1
5 15 0.999999
5 16 1
5 17 0.999999
5 18 1
5 19 0.999999
5 20 1
5 21 0.999999
5 22 1
5 23 1
5 24 1
5 25 1
5 26 1
5 27 1
5 28 0.999999
5 29 0.999997
5 30 0.99999
5 31 0.99997
5 32 0.999909
