#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 0.999999
1 27 0.999998
1 28 0.999994
1 29 0.999982
1 30 0.999946
1 31 0.999837
1 32 0.999502
1 33 0.998482
1 34 0.995383
1 35 0.986013
1 36 0.958157
1 37 0.879709
1 38 0.691893
1 39 0.40104
1 40 0.176683
1 41 0.0678653
1 42 0.0246904
1 43 0.00880629
1 44 0.00311872
1 45 0.00110154
1 46 0.000388558
1 47 0.000136914
1 48 4.81979e-05
1 49 1.7001e-05
1 50 6.17424e-06
1 51 2.78848e-06

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 0.999999
2 27 0.999998
2 28 0.999994
2 29 0.999982
2 30 0.999945
2 31 0.999831
2 32 0.999486
2 33 0.998434
2 34 0.995241
2 35 0.985595
2 36 0.956966
2 37 0.876577
2 38 0.685458
2 39 0.394276
2 40 0.172948
2 41 0.0663249
2 42 0.0241211
2 43 0.00860404
2 44 0.00304785
2 45 0.00107683
2 46 0.00037996
2 47 0.000133925
2 48 4.71601e-05
2 49 1.66399e-05
2 50 6.04494e-06
2 51 2.73092e-06

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 0.999999
3 27 0.999998
3 28 0.999994
3 29 0.99998
3 30 0.999941
3 31 0.99982
3 32 0.999452
3 33 0.998333
3 34 0.994942
3 35 0.984721
3 36 0.954482
3 37 0.870092
3 38 0.672355
3 39 0.380897
3 40 0.165671
3 41 0.06334
3 42 0.0230199
3 43 0.00821289
3 44 0.00291077
3 45 0.00102902
3 46 0.000363316
3 47 0.000128138
3 48 4.51494e-05
3 49 1.59399e-05
3 50 5.79417e-06
3 51 2.61924e-06

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 0.999999
4 27 0.999998
4 28 0.999993
4 29 0.999978
4 30 0.999934
4 31 0.999801
4 32 0.999396
4 33 0.998169
4 34 0.994458
4 35 0.983308
4 36 0.950488
4 37 0.859795
4 38 0.652153
4 39 0.361236
4 40 0.15523
4 41 0.0590947
4 42 0.0214577
4 43 0.00765822
4 44 0.0027163
4 45 0.00096115
4 46 0.000339673
4 47 0.000119911
4 48 4.2289e-05
4 49 1.49433e-05
4 50 5.43693e-06
4 51 2.46002e-06

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 16 1
5 17 1
5 18 1
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 0.999999
5 27 0.999997
