#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 0.999999
1 28 0.999998
1 29 0.999993
1 30 0.999978
1 31 0.999933
1 32 0.999797
1 33 0.999381
1 34 0.998113
1 35 0.99426
1 36 0.982642
1 37 0.948349
1 38 0.853616
1 39 0.638759
1 40 0.347409
1 41 0.147538
1 42 0.0558142
1 43 0.0201914
1 44 0.00718717
1 45 0.00254364
1 46 0.000898322
1 47 0.000316946
1 48 0.00011178
1 49 3.95354e-05
1 50 1.44163e-05
1 51 6.54539e-06

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 0.999999
2 28 0.999998
2 29 0.999993
2 30 0.999977
2 31 0.999931
2 32 0.99979
2 33 0.999361
2 34 0.998055
2 35 0.994088
2 36 0.982136
2 37 0.946923
2 38 0.849989
2 39 0.631942
2 40 0.341265
2 41 0.144405
2 42 0.0545612
2 43 0.0197334
2 44 0.00702505
2 45 0.0024869
2 46 0.000878538
2 47 0.000310059
2 48 0.000109384
2 49 3.86993e-05
2 50 1.41158e-05
2 51 6.41089e-06

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 1
3 22 1
3 23 1
3 24 1
3 25 1
3 26 1
3 27 0.999999
3 28 0.999997
3 29 0.999992
3 30 0.999976
3 31 0.999926
3 32 0.999776
3 33 0.99932
3 34 0.997933
3 35 0.993727
3 36 0.981082
3 37 0.943954
3 38 0.842498
3 39 0.61815
3 40 0.32916
3 41 0.138309
3 42 0.0521337
3 43 0.0188472
3 44 0.00671137
3 45 0.00237708
3 46 0.000840237
3 47 0.00029672
3 48 0.000104741
3 49 3.70786e-05
3 50 1.35329e-05
3 51 6.14994e-06

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 1
4 22 1
4 23 1
4 24 1
4 25 1
4 26 1
4 27 0.999999
4 28 0.999997
4 29 0.999991
4 30 0.999973
4 31 0.999919
4 32 0.999754
4 33 0.999253
4 34 0.997735
4 35 0.993144
4 36 0.979381
4 37 0.939192
4 38 0.830652
4 39 0.597112
4 40 0.311482
4 41 0.12958
4 42 0.0486813
4 43 0.0175892
4 44 0.00626622
4 45 0.00222116
4 46 0.000785824
4 47 0.000277758
4 48 9.81355e-05
4 49 3.47713e-05
4 50 1.27025e-05
4 51 5.7779e-06

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
5 10 1
5 11 1
5 12 1
5 13 1
5 14 1
5 15 1
5 16 1
5 17 1
5 18 1
5 19 1
5 20 1
5 21 1
5 22 1
5 23 1
5 24 1
5 25 1
5 26 1
5 27 0.999999
5 28 0.999997
5 29 0.99999
5 30 0.999969
