#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 0.999999
1 32 0.999999
1 33 0.999996
1 34 0.999986
1 35 0.999959
1 36 0.999874
1 37 0.999617
1 38 0.998832
1 39 0.996441
1 40 0.989191
1 41 0.967495
1 42 0.905305
1 43 0.748311
1 44 0.468612
1 45 0.217128
1 46 0.085219
1 47 0.0312524
1 48 0.0111836
1 49 0.00398355
1 50 0.00146191
1 51 0.000669047

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 0.999999
2 12 1
2 13 0.999999
2 14 1
2 15 0.999999
2 16 1
2 17 0.999999
2 18 1
2 19 0.999999
2 20 1
2 21 0.999999
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 0.999998
2 33 0.999995
2 34 0.999986
2 35 0.999958
2 36 0.999871
2 37 0.999606
2 38 0.998799
2 39 0.996344
2 40 0.988905
2 41 0.966667
2 42 0.903053
2 43 0.743278
2 44 0.462198
2 45 0.213149
2 46 0.0834991
2 47 0.0306053
2 48 0.0109519
2 49 0.00390168
2 50 0.00143222
2 51 0.000655645

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 0.999999
3 9 1
3 10 0.999999
3 11 1
3 12 0.999998
3 13 1
3 14 0.999998
3 15 1
3 16 0.999998
3 17 1
3 18 0.999998
3 19 1
3 20 0.999998
3 21 1
3 22 0.999999
3 23 1
3 24 0.999999
3 25 1
3 26 1
3 27 1
3 28 1
3 29 1
3 30 1
3 31 0.999999
3 32 0.999998
3 33 0.999995
3 34 0.999985
3 35 0.999955
3 36 0.999863
3 37 0.999583
3 38 0.998731
3 39 0.996143
3 40 0.988311
3 41 0.96495
3 42 0.8984
3 43 0.732997
3 44 0.449438
3 45 0.205363
3 46 0.0801548
3 47 0.0293495
3 48 0.0105024
3 49 0.00374287
3 50 0.00137463
3 51 0.000629634

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 0.999999
4 8 1
4 9 0.999999
4 10 1
4 11 0.999998
4 12 1
4 13 0.999997
4 14 1
4 15 0.999996
4 16 1
4 17 0.999996
4 18 1
4 19 0.999996
4 20 1
4 21 0.999997
4 22 1
4 23 0.999998
4 24 1
4 25 0.999999
4 26 1
4 27 1
4 28 1
4 29 1
4 30 1
4 31 0.999999
4 32 0.999998
4 33 0.999995
4 34 0.999984
4 35 0.999951
4 36 0.999851
4 37 0.999546
4 38 0.998622
4 39 0.995819
4 40 0.987359
4 41 0.962211
4 42 0.891042
4 43 0.717047
4 44 0.430498
4 45 0.194111
4 46 0.07537
4 47 0.0275586
4 48 0.00986182
4 49 0.00351653
4 50 0.0012925
4 51 0.000592518

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 0.999999
5 7 1
5 8 0.999999
5 9 1
5 10 0.999997
5 11 1
5 12 0.999996
5 13 1.00001
5 14 0.999994
5 15 1.00001
5 16 0.999993
5 17 1.00001
5 18 0.999993
5 19 1.00001
5 20 0.999994
5 21 1.00001
5 22 0.999995
5 23 1
5 24 0.999997
5 25 1
5 26 0.999999
5 27 1
