#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 1
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 0.999999
1 32 0.999996
1 33 0.999989
1 34 0.999967
1 35 0.999899
1 36 0.999691
1 37 0.999059
1 38 0.997132
1 39 0.99128
1 40 0.973711
1 41 0.922776
1 42 0.789405
1 43 0.527179
1 44 0.25656
1 45 0.102981
1 46 0.0380914
1 47 0.0136665
1 48 0.00485294
1 49 0.00172407
1 50 0.000632138
1 51 0.000289188

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 0.999999
2 14 1
2 15 0.999999
2 16 1
2 17 0.999999
2 18 1
2 19 0.999999
2 20 1
2 21 1
2 22 1
2 23 1
2 24 1
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 0.999999
2 32 0.999996
2 33 0.999989
2 34 0.999966
2 35 0.999896
2 36 0.999682
2 37 0.999032
2 38 0.997052
2 39 0.991044
2 40 0.973021
2 41 0.920868
2 42 0.784919
2 43 0.520533
2 44 0.251946
2 45 0.100892
2 46 0.0372917
2 47 0.0133786
2 48 0.00475142
2 49 0.0016884
2 50 0.000619234
2 51 0.000283367

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 0.999999
3 11 1
3 12 0.999999
3 13 1
3 14 0.999999
3 15 1
3 16 0.999998
3 17 1
3 18 0.999999
3 19 1
3 20 0.999999
3 21 1
3 22 0.999999
3 23 1
3 24 1
3 25 1
3 26 1
3 27 1
3 28 1
3 29 1
3 30 1
3 31 0.999999
3 32 0.999996
3 33 0.999988
3 34 0.999964
3 35 0.999889
3 36 0.999663
3 37 0.998976
3 38 0.996886
3 39 0.990552
3 40 0.971589
3 41 0.916918
3 42 0.775717
3 43 0.507244
3 44 0.2429
3 45 0.0968271
3 46 0.0357401
3 47 0.0128203
3 48 0.0045546
3 49 0.00161923
3 50 0.0005942
3 51 0.000272071

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 0.999999
4 10 1
4 11 0.999999
4 12 1
4 13 0.999998
4 14 1
4 15 0.999997
4 16 1
4 17 0.999997
4 18 1
4 19 0.999997
4 20 1
4 21 0.999998
4 22 1
4 23 0.999999
4 24 1
4 25 0.999999
4 26 1
4 27 1
4 28 1
4 29 1
4 30 0.999999
4 31 0.999999
4 32 0.999996
4 33 0.999987
4 34 0.99996
4 35 0.999879
4 36 0.999633
4 37 0.998886
4 38 0.996618
4 39 0.989762
4 40 0.9693
4 41 0.910646
4 42 0.761343
4 43 0.487361
4 44 0.229788
4 45 0.0910088
4 46 0.0335283
4 47 0.0120253
4 48 0.00427431
4 49 0.00152069
4 50 0.000558511
4 51 0.000255956

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 0.999999
5 9 1
5 10 0.999998
5 11 1
5 12 0.999997
5 13 1
5 14 0.999996
5 15 1
5 16 0.999995
5 17 1
5 18 0.999995
5 19 1
5 20 0.999996
5 21 1
5 22 0.999997
5 23 1
5 24 0.999998
5 25 1
5 26 0.999999
5 27 1
5 28 1
5 29 1
5 30 0.999999
5 31 0.999998
