#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 0.999999
1 14 1
1 15 0.999999
1 16 1
1 17 0.999999
1 18 1
1 19 0.999999
1 20 1
1 21 0.999999
1 22 1
1 23 1
1 24 1
1 25 1
1 26 1
1 27 1
1 28 1
1 29 1
1 30 1
1 31 1
1 32 1
1 33 0.999999
1 34 0.999997
1 35 0.999991
1 36 0.999974
1 37 0.999921
1 38 0.999758
1 39 0.999261
1 40 0.997747
1 41 0.993143
1 42 0.979281
1 43 0.938642
1 44 0.828569
1 45 0.591946
1 46 0.306198
1 47 0.126621
1 48 0.0474084
1 49 0.0171618
1 50 0.00633427
1 51 0.00290518

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 0.999999
2 9 1
2 10 0.999999
2 11 1
2 12 0.999998
2 13 1
2 14 0.999998
2 15 1
2 16 0.999997
2 17 1
2 18 0.999997
2 19 1
2 20 0.999998
2 21 1
2 22 0.999998
2 23 1
2 24 0.999999
2 25 1
2 26 1
2 27 1
2 28 1
2 29 1
2 30 1
2 31 1
2 32 1
2 33 0.999999
2 34 0.999997
2 35 0.999991
2 36 0.999973
2 37 0.999918
2 38 0.999751
2 39 0.999241
2 40 0.997687
2 41 0.992966
2 42 0.978759
2 43 0.937176
2 44 0.824944
2 45 0.585705
2 46 0.301188
2 47 0.124201
2 48 0.0464591
2 49 0.0168153
2 50 0.00620713
2 51 0.0028475

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 0.999999
3 8 1
3 9 0.999998
3 10 1
3 11 0.999997
3 12 1
3 13 0.999996
3 14 1
3 15 0.999995
3 16 1.00001
3 17 0.999994
3 18 1.00001
3 19 0.999995
3 20 1
3 21 0.999996
3 22 1
3 23 0.999997
3 24 1
3 25 0.999998
3 26 1
3 27 0.999999
3 28 1
3 29 1
3 30 1
3 31 1
3 32 1
3 33 0.999999
3 34 0.999997
3 35 0.999991
3 36 0.999972
3 37 0.999914
3 38 0.999737
3 39 0.999199
3 40 0.997563
3 41 0.992596
3 42 0.977677
3 43 0.934142
3 44 0.817501
3 45 0.573154
3 46 0.291329
3 47 0.119485
3 48 0.0446147
3 49 0.0161427
3 50 0.00596036
3 51 0.00273552

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 0.999999
4 7 1
4 8 0.999998
4 9 1
4 10 0.999996
4 11 1
4 12 0.999994
4 13 1.00001
4 14 0.999992
4 15 1.00001
4 16 0.999991
4 17 1.00001
4 18 0.999991
4 19 1.00001
4 20 0.999992
4 21 1.00001
4 22 0.999994
4 23 1.00001
4 24 0.999996
4 25 1
4 26 0.999998
4 27 1
4 28 0.999999
4 29 1
4 30 1
4 31 1
4 32 1
4 33 0.999999
4 34 0.999997
4 35 0.99999
4 36 0.999969
4 37 0.999906
4 38 0.999714
4 39 0.999132
4 40 0.997363
4 41 0.992006
4 42 0.975951
4 43 0.929328
4 44 0.805843
4 45 0.554194
4 46 0.276951
4 47 0.112709
4 48 0.0419788
4 49 0.0151828
4 50 0.00560824
4 51 0.00257567

5 1 1
5 2 1
5 3 1
5 4 1
5 5 0.999999
5 6 1
5 7 0.999998
5 8 1
5 9 0.999995
5 10 1.00001
5 11 0.999992
5 12 1.00001
5 13 0.999989
5 14 1.00001
5 15 0.999986
5 16 1.00001
5 17 0.999985
5 18 1.00002
5 19 0.999986
5 20 1.00001
5 21 0.999988
5 22 1.00001
