#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 0.999999
1 22 0.999998
1 23 0.999995
1 24 0.999986
1 25 0.999956
1 26 0.999866
1 27 0.999591
1 28 0.998756
1 29 0.996218
1 30 0.988532
1 31 0.965583
1 32 0.900086
1 33 0.73664
1 34 0.453821
1 35 0.20799
1 36 0.0812641
1 37 0.0297494
1 38 0.0106267
1 39 0.00375917
1 40 0.00132309
1 41 0.000463739
1 42 0.00016179
1 43 5.61412e-05
1 44 1.93642e-05
1 45 6.63743e-06
1 46 2.26147e-06
1 47 7.66421e-07
1 48 2.58688e-07
1 49 8.73046e-08
1 50 3.02535e-08
1 51 1.30323e-08

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 0.999999
2 22 0.999998
2 23 0.999995
2 24 0.999985
2 25 0.999954
2 26 0.999861
2 27 0.999576
2 28 0.998711
2 29 0.996085
2 30 0.988142
2 31 0.964465
2 32 0.897088
2 33 0.730105
2 34 0.445905
2 35 0.203236
2 36 0.0792396
2 37 0.0289936
2 38 0.0103578
2 39 0.00366516
2 40 0.00129047
2 41 0.000452477
2 42 0.000157918
2 43 5.48175e-05
2 44 1.89143e-05
2 45 6.48557e-06
2 46 2.21054e-06
2 47 7.49453e-07
2 48 2.53063e-07
2 49 8.54424e-08
2 50 2.96218e-08
2 51 1.27663e-08

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 0.999999
3 22 0.999998
3 23 0.999995
3 24 0.999984
3 25 0.99995
3 26 0.99985
3 27 0.999543
3 28 0.998615
3 29 0.995802
3 30 0.987318
3 31 0.962114
3 32 0.890828
3 33 0.71667
3 34 0.430163
3 35 0.193964
3 36 0.0753195
3 37 0.0275335
3 38 0.00983843
3 39 0.00348356
3 40 0.00122744
3 41 0.0004307
3 42 0.000150428
3 43 5.22551e-05
3 44 1.8043e-05
3 45 6.19125e-06
3 46 2.1118e-06
3 47 7.16531e-07
3 48 2.42143e-07
3 49 8.18247e-08
3 50 2.83937e-08
3 51 1.22489e-08

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 0.999999
4 22 0.999998
4 23 0.999994
4 24 0.999981
4 25 0.999944
4 26 0.999831
4 27 0.999489
4 28 0.998456
4 29 0.995337
4 30 0.985967
4 31 0.958284
4 32 0.880753
4 33 0.695633
4 34 0.406839
4 35 0.180649
4 36 0.0697546
4 37 0.0254679
4 38 0.00910412
4 39 0.00322668
4 40 0.0011382
4 41 0.000399841
4 42 0.000139805
4 43 4.86174e-05
4 44 1.68049e-05
4 45 5.77269e-06
4 46 1.97124e-06
4 47 6.6962e-07
4 48 2.26566e-07
4 49 7.66587e-08
4 50 2.6638e-08
4 51 1.15082e-08

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
