#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 1
1 19 1
1 20 1
1 21 0.999999
1 22 0.999998
1 23 0.999994
1 24 0.999982
1 25 0.999945
1 26 0.999832
1 27 0.999489
1 28 0.998445
1 29 0.995273
1 30 0.985691
1 31 0.957241
1 32 0.877299
1 33 0.686926
1 34 0.395804
1 35 0.173784
1 36 0.0666579
1 37 0.0242309
1 38 0.00863139
1 39 0.00304888
1 40 0.00107172
1 41 0.000375052
1 42 0.000130591
1 43 4.52082e-05
1 44 1.55523e-05
1 45 5.31654e-06
1 46 1.80682e-06
1 47 6.10979e-07
1 48 2.0585e-07
1 49 6.93773e-08
1 50 2.40172e-08
1 51 1.03386e-08

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 1
2 19 1
2 20 1
2 21 0.999999
2 22 0.999998
2 23 0.999994
2 24 0.999981
2 25 0.999943
2 26 0.999826
2 27 0.99947
2 28 0.998388
2 29 0.995106
2 30 0.985204
2 31 0.955863
2 32 0.873705
2 33 0.679641
2 34 0.388301
2 35 0.169689
2 36 0.0649788
2 37 0.0236128
2 38 0.00841261
2 39 0.00297258
2 40 0.00104529
2 41 0.00036594
2 42 0.000127465
2 43 4.41419e-05
2 44 1.51909e-05
2 45 5.19493e-06
2 46 1.76617e-06
2 47 5.97472e-07
2 48 2.01383e-07
2 49 6.79013e-08
2 50 2.35172e-08
2 51 1.01283e-08

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 1
3 19 1
3 20 1
3 21 0.999999
3 22 0.999998
3 23 0.999993
3 24 0.999979
3 25 0.999938
3 26 0.999812
3 27 0.999429
3 28 0.998268
3 29 0.994753
3 30 0.984178
3 31 0.952965
3 32 0.866212
3 33 0.664751
3 34 0.373457
3 35 0.161717
3 36 0.0617297
3 37 0.0224189
3 38 0.00799007
3 39 0.00282516
3 40 0.000994197
3 41 0.000348316
3 42 0.000121415
3 43 4.20773e-05
3 44 1.44909e-05
3 45 4.9592e-06
3 46 1.68732e-06
3 47 5.71258e-07
3 48 1.92709e-07
3 49 6.50331e-08
3 50 2.2545e-08
3 51 9.71913e-09

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 1
4 19 1
4 20 1
4 21 0.999999
4 22 0.999997
4 23 0.999992
4 24 0.999977
4 25 0.99993
4 26 0.999789
4 27 0.999361
4 28 0.99807
4 29 0.994172
4 30 0.982495
4 31 0.948245
4 32 0.85419
4 33 0.641682
4 34 0.35165
4 35 0.150309
4 36 0.0571223
4 37 0.0207301
4 38 0.00739258
4 39 0.00261659
4 40 0.000921849
4 41 0.000323337
4 42 0.000112833
4 43 3.91457e-05
4 44 1.3496e-05
4 45 4.62385e-06
4 46 1.57505e-06
4 47 5.3389e-07
4 48 1.8033e-07
4 49 6.09355e-08
4 50 2.11543e-08
4 51 9.13304e-09

5 1 1
5 2 1
5 3 1
5 4 1
5 5 1
5 6 1
5 7 1
5 8 1
5 9 1
