#x #y #phase
1 1 1
1 2 1
1 3 1
1 4 1
1 5 1
1 6 1
1 7 1
1 8 1
1 9 1
1 10 1
1 11 1
1 12 1
1 13 1
1 14 1
1 15 1
1 16 1
1 17 1
1 18 0.999999
1 19 0.999998
1 20 0.999994
1 21 0.999981
1 22 0.999944
1 23 0.999829
1 24 0.999481
1 25 0.998425
1 26 0.995222
1 27 0.985556
1 28 0.956891
1 29 0.876453
1 30 0.685328
1 31 0.394293
1 32 0.173016
1 33 0.0663342
1 34 0.0240746
1 35 0.00853806
1 36 0.00298942
1 37 0.00103597
1 38 0.000355556
1 39 0.000120967
1 40 4.08624e-05
1 41 1.37324e-05
1 42 4.60001e-06
1 43 1.53808e-06
1 44 5.13802e-07
1 45 1.71563e-07
1 46 5.7274e-08
1 47 1.91186e-08
1 48 6.38363e-09
1 49 2.13811e-09
1 50 7.36723e-10
1 51 3.1587e-10

2 1 1
2 2 1
2 3 1
2 4 1
2 5 1
2 6 1
2 7 1
2 8 1
2 9 1
2 10 1
2 11 1
2 12 1
2 13 1
2 14 1
2 15 1
2 16 1
2 17 1
2 18 0.999999
2 19 0.999998
2 20 0.999994
2 21 0.99998
2 22 0.999941
2 23 0.999822
2 24 0.99946
2 25 0.998363
2 26 0.99504
2 27 0.985029
2 28 0.955407
2 29 0.872607
2 30 0.677597
2 31 0.386409
2 32 0.168738
2 33 0.0645871
2 34 0.0234341
2 35 0.00831263
2 36 0.00291153
2 37 0.00100938
2 38 0.000346578
2 39 0.000117967
2 40 3.98688e-05
2 41 1.34057e-05
2 42 4.49305e-06
2 43 1.50315e-06
2 44 5.02409e-07
2 45 1.67847e-07
2 46 5.60622e-08
2 47 1.87232e-08
2 48 6.2545e-09
2 49 2.0958e-09
2 50 7.22476e-10
2 51 3.09905e-10

3 1 1
3 2 1
3 3 1
3 4 1
3 5 1
3 6 1
3 7 1
3 8 1
3 9 1
3 10 1
3 11 1
3 12 1
3 13 1
3 14 1
3 15 1
3 16 1
3 17 1
3 18 0.999999
3 19 0.999998
3 20 0.999993
3 21 0.999979
3 22 0.999936
3 23 0.999806
3 24 0.999415
3 25 0.99823
3 26 0.994651
3 27 0.983906
3 28 0.952256
3 29 0.864519
3 30 0.661685
3 31 0.370728
3 32 0.16037
3 33 0.0611898
3 34 0.0221904
3 35 0.0078749
3 36 0.0027602
3 37 0.000957681
3 38 0.000329109
3 39 0.000112125
3 40 3.79326e-05
3 41 1.27684e-05
3 42 4.28423e-06
3 43 1.4349e-06
3 44 4.80126e-07
3 45 1.60574e-07
3 46 5.36876e-08
3 47 1.79477e-08
3 48 6.00108e-09
3 49 2.01271e-09
3 50 6.94473e-10
3 51 2.9817e-10

4 1 1
4 2 1
4 3 1
4 4 1
4 5 1
4 6 1
4 7 1
4 8 1
4 9 1
4 10 1
4 11 1
4 12 1
4 13 1
4 14 1
4 15 1
4 16 1
4 17 1
4 18 0.999999
4 19 0.999997
4 20 0.999992
4 21 0.999975
4 22 0.999927
4 23 0.99978
4 24 0.999338
4 25 0.998006
4 26 0.994001
4 27 0.982036
4 28 0.947048
4 29 0.851374
4 30 0.6368
4 31 0.347544
4 32 0.148329
4 33 0.0563466
4 34 0.0204215
4 35 0.00725228
4 36 0.00254477
4 37 0.000884007
4 38 0.000304184
4 39 0.000103779
4 40 3.51627e-05
4 41 1.18554e-05
4 42 3.98463e-06
4 43 1.33683e-06
4 44 4.48058e-07
4 45 1.50091e-07
4 46 5.02605e-08
4 47 1.6827e-08
4 48 5.63436e-09
4 49 1.89232e-09
